BugID 	 BugVersion(ReleaseDate) 	 BugReportDate 	 PatchDate 	 FixTime
19207	2.0.44	2003-04-22 01:26:00.0	2003-04-22 11:46:00.0	0 days
8016	2.0.35	2002-04-12 14:21:00.0	2002-04-21 02:42:00.0	8 days
8122	2.0.35	2002-04-15 19:27:00.0	2002-05-06 16:55:00.0	20 days
8122	2.0.35	2002-04-15 19:27:00.0	2002-05-07 09:55:00.0	21 days
8124	2.0.36	2002-04-15 19:36:00.0	2002-05-06 16:50:00.0	20 days
14276	2.0-HEAD	2002-11-05 21:40:00.0	2003-01-06 07:09:00.0	61 days
46996	2.2.14	2009-04-08 09:54:00.0	2009-04-08 09:54:00.0	0 days
34520	2.0.54	2005-04-19 15:30:00.0	2005-04-19 15:41:00.0	0 days
28125	2.0.49	2004-04-01 12:23:00.0	2004-04-01 12:24:00.0	0 days
14376	2.0.43	2002-11-07 23:35:00.0	2003-04-15 17:02:00.0	158 days
14376	2.0.43	2002-11-07 23:35:00.0	2003-04-15 17:44:00.0	158 days
23795	2.0.47	2003-10-13 23:32:00.0	2003-10-27 20:27:00.0	13 days
28732	2.0-HEAD	2004-05-02 18:41:00.0	2004-05-02 18:42:00.0	0 days
29310	2.0.49	2004-05-31 14:36:00.0	2004-06-02 07:14:00.0	1 days
29310	2.0.49	2004-05-31 14:36:00.0	2004-06-02 07:27:00.0	1 days
29310	2.0.49	2004-05-31 14:36:00.0	2004-07-04 09:09:00.0	33 days
43922	2.2.6	2007-11-20 23:01:00.0	2007-11-20 23:04:00.0	0 days
8314	2.0.35	2002-04-19 21:13:00.0	2002-04-19 21:23:00.0	0 days
8726	2.0-HEAD	2002-05-02 04:21:00.0	2002-05-15 19:55:00.0	13 days
28250	2.0.49	2004-04-07 09:18:00.0	2004-04-07 09:19:00.0	0 days
34209	2.0.54	2005-03-28 16:50:00.0	2005-07-28 12:43:00.0	121 days
8760	2.0.35	2002-05-03 02:53:00.0	2002-05-03 06:59:00.0	0 days
29003	2.1-HEAD	2004-05-15 06:25:00.0	2004-05-21 03:42:00.0	5 days
29003	2.1-HEAD	2004-05-15 06:25:00.0	2004-05-21 03:43:00.0	5 days
29003	2.1-HEAD	2004-05-15 06:25:00.0	2004-05-25 23:23:00.0	10 days
29003	2.1-HEAD	2004-05-15 06:25:00.0	2004-05-27 20:22:00.0	12 days
29003	2.1-HEAD	2004-05-15 06:25:00.0	2004-05-28 20:25:00.0	13 days
12877	2.0-HEAD	2002-09-20 21:45:00.0	2002-09-21 08:12:00.0	0 days
12877	2.0-HEAD	2002-09-20 21:45:00.0	2002-09-21 08:13:00.0	0 days
12877	2.0-HEAD	2002-09-20 21:45:00.0	2002-09-21 08:13:00.0	0 days
12877	2.0-HEAD	2002-09-20 21:45:00.0	2003-02-28 22:33:00.0	161 days
20656	2.0.46	2003-06-10 18:42:00.0	2003-06-10 19:29:00.0	0 days
8853	2.0.36	2002-05-07 08:24:00.0	2002-05-07 15:22:00.0	0 days
8853	2.0.36	2002-05-07 08:24:00.0	2002-05-07 15:27:00.0	0 days
12880	2.0.40	2002-09-20 21:58:00.0	2002-09-21 08:22:00.0	0 days
20944	2.0.46	2003-06-20 10:14:00.0	2003-07-11 22:51:00.0	21 days
27866	2.0-HEAD	2004-03-23 08:24:00.0	2004-04-04 17:03:00.0	12 days
22104	2.0.47	2003-08-04 10:57:00.0	2003-08-04 13:22:00.0	0 days
22104	2.0.47	2003-08-04 10:57:00.0	2003-08-04 13:39:00.0	0 days
22104	2.0.47	2003-08-04 10:57:00.0	2003-08-04 14:09:00.0	0 days
15114	2.0-HEAD	2002-12-05 16:46:00.0	2002-12-05 16:47:00.0	0 days
30464	2.0.50	2004-08-04 13:08:00.0	2004-08-04 13:09:00.0	0 days
30464	2.0.50	2004-08-04 13:08:00.0	2004-08-24 08:28:00.0	19 days
8841	2.0.36	2002-05-06 21:22:00.0	2002-05-06 21:49:00.0	0 days
8841	2.0.36	2002-05-06 21:22:00.0	2002-05-06 22:18:00.0	0 days
27951	2.0-HEAD	2004-03-25 17:29:00.0	2004-03-25 17:31:00.0	0 days
20957	2.0-HEAD	2003-06-20 15:45:00.0	2003-06-20 15:51:00.0	0 days
14235	2.0.43	2002-11-04 18:07:00.0	2002-11-04 18:14:00.0	0 days
15112	2.0-HEAD	2002-12-05 16:11:00.0	2002-12-05 16:12:00.0	0 days
19304	2.0.45	2003-04-25 03:32:00.0	2003-06-25 11:43:00.0	61 days
21668	2.0-HEAD	2003-07-16 22:59:00.0	2003-07-16 22:59:00.0	0 days
46123	2.5-HEAD	2008-10-29 12:20:00.0	2008-10-29 12:21:00.0	0 days
46123	2.5-HEAD	2008-10-29 12:20:00.0	2008-10-30 07:33:00.0	0 days
46123	2.5-HEAD	2008-10-29 12:20:00.0	2009-01-29 09:00:00.0	91 days
21523	2.0.46	2003-07-11 18:32:00.0	2003-07-25 16:43:00.0	13 days
33454	2.1-HEAD	2005-02-08 22:55:00.0	2005-02-08 23:14:00.0	0 days
14147	2.0.43	2002-10-31 20:51:00.0	2002-11-04 14:12:00.0	3 days
9587	2.0.36	2002-06-03 19:52:00.0	2002-06-07 00:32:00.0	3 days
23748	2.0.47	2003-10-11 20:19:00.0	2003-10-12 18:15:00.0	0 days
23748	2.0.47	2003-10-11 20:19:00.0	2003-10-12 23:05:00.0	1 days
23747	2.0.47	2003-10-11 19:59:00.0	2003-10-12 18:32:00.0	0 days
34452	2.0.53	2005-04-14 16:02:00.0	2005-04-18 15:01:00.0	3 days
34452	2.0.53	2005-04-14 16:02:00.0	2005-04-23 00:47:00.0	8 days
27424	2.0.48	2004-03-04 00:53:00.0	2004-03-16 23:31:00.0	12 days
16520	2.0-HEAD	2003-01-28 23:54:00.0	2003-06-27 14:14:00.0	149 days
16520	2.0-HEAD	2003-01-28 23:54:00.0	2003-07-07 20:49:00.0	159 days
16520	2.0-HEAD	2003-01-28 23:54:00.0	2003-07-08 04:32:00.0	160 days
52402	2.4.1	2011-12-30 20:16:00.0	2012-06-13 16:46:00.0	165 days
21648	2.0.47	2003-07-16 12:11:00.0	2003-07-16 12:13:00.0	0 days
33438	2.0.52	2005-02-08 02:28:00.0	2005-02-08 02:31:00.0	0 days
23713	2.0.47	2003-10-10 00:10:00.0	2003-10-10 00:13:00.0	0 days
9457	2.0.43	2002-05-28 13:12:00.0	2003-03-13 18:42:00.0	289 days
21371	2.0.46	2003-07-07 13:28:00.0	2003-07-10 20:40:00.0	3 days
13914	2.0-HEAD	2002-10-24 05:17:00.0	2002-10-24 05:18:00.0	0 days
48093	2.5-HEAD	2009-10-31 22:31:00.0	2009-10-31 22:33:00.0	0 days
12655	2.0-HEAD	2002-09-15 02:02:00.0	2005-05-30 18:20:00.0	988 days
30399	2.0.50	2004-07-29 23:12:00.0	2004-08-01 10:38:00.0	2 days
30399	2.0.50	2004-07-29 23:12:00.0	2004-09-28 12:24:00.0	60 days
30399	2.0.50	2004-07-29 23:12:00.0	2004-10-15 08:55:00.0	77 days
30399	2.0.50	2004-07-29 23:12:00.0	2005-03-08 22:00:00.0	221 days
21779	2.0.47	2003-07-21 18:57:00.0	2004-01-08 12:44:00.0	170 days
43738	2.2.3	2007-10-30 14:57:00.0	2007-11-01 09:38:00.0	1 days
43738	2.2.3	2007-10-30 14:57:00.0	2007-11-02 06:33:00.0	2 days
8291	2.0.35	2002-04-19 04:11:00.0	2002-05-21 00:39:00.0	31 days
21392	2.0.46	2003-07-08 05:15:00.0	2003-07-08 05:25:00.0	0 days
11030	2.0.39	2002-07-22 08:53:00.0	2002-07-24 03:30:00.0	1 days
12507	2.0-HEAD	2002-09-11 03:47:00.0	2002-09-11 03:49:00.0	0 days
19849	2.0.45	2003-05-12 13:33:00.0	2003-05-29 02:11:00.0	16 days
29964	2.0.48	2004-07-07 23:50:00.0	2004-07-08 11:04:00.0	0 days
12779	2.0.40	2002-09-18 15:33:00.0	2002-09-18 16:41:00.0	0 days
27731	2.0.48	2004-03-17 09:45:00.0	2004-03-17 12:21:00.0	0 days
38701	2.5-HEAD	2006-02-17 22:41:00.0	2006-02-17 22:42:00.0	0 days
29962	2.0.54	2004-07-07 21:39:00.0	2005-08-18 21:29:00.0	406 days
12625	2.0.40	2002-09-13 17:20:00.0	2002-09-13 17:25:00.0	0 days
19242	2.0.45	2003-04-23 02:27:00.0	2003-05-09 16:52:00.0	16 days
9410	2.0.36	2002-05-25 05:48:00.0	2002-05-25 05:49:00.0	0 days
27748	2.0-HEAD	2004-03-17 16:36:00.0	2004-03-31 18:36:00.0	14 days
27748	2.0-HEAD	2004-03-17 16:36:00.0	2004-05-20 22:47:00.0	64 days
31898	2.0.52	2004-10-26 15:51:00.0	2004-10-26 15:55:00.0	0 days
31898	2.0.52	2004-10-26 15:51:00.0	2004-10-31 02:28:00.0	4 days
31898	2.0.52	2004-10-26 15:51:00.0	2004-11-03 15:27:00.0	8 days
31898	2.0.52	2004-10-26 15:51:00.0	2004-11-03 16:57:00.0	8 days
31898	2.0.52	2004-10-26 15:51:00.0	2004-11-03 17:09:00.0	8 days
31898	2.0.52	2004-10-26 15:51:00.0	2004-11-04 23:14:00.0	9 days
12207	2.0-HEAD	2002-08-31 07:09:00.0	2002-08-31 07:40:00.0	0 days
39282	2.2-HEAD	2006-04-12 14:40:00.0	2006-04-12 14:41:00.0	0 days
39282	2.2-HEAD	2006-04-12 14:40:00.0	2006-04-17 10:54:00.0	4 days
37874	2.2.0	2005-12-12 17:23:00.0	2005-12-12 17:24:00.0	0 days
37874	2.2.0	2005-12-12 17:23:00.0	2005-12-12 17:25:00.0	0 days
9789	2.0.36	2002-06-11 20:04:00.0	2002-06-11 20:06:00.0	0 days
9789	2.0.36	2002-06-11 20:04:00.0	2002-07-26 14:50:00.0	44 days
9534	2.0.40	2002-05-31 03:40:00.0	2002-06-24 15:07:00.0	24 days
32787	2.1-HEAD	2004-12-21 06:02:00.0	2005-03-11 04:44:00.0	79 days
32787	2.1-HEAD	2004-12-21 06:02:00.0	2005-06-16 04:36:00.0	176 days
47973	2.5-HEAD	2009-10-09 09:03:00.0	2009-10-09 09:49:00.0	0 days
21085	2.0.46	2003-06-25 15:19:00.0	2003-06-25 15:21:00.0	0 days
41193	2.2-HEAD	2006-12-17 11:18:00.0	2006-12-17 11:18:00.0	0 days
