BugID 	 BugVersion(ReleaseDate) 	 BugReportDate 	 PatchDate 	 FixTime
16903	OOo 1.1 RC	2003-07-15 20:49:00.0	2003-07-17 12:02:00.0	1 days
62916	680m156	2006-03-08 12:23:00.0	2006-03-08 12:24:00.0	0 days
15353	OOo 1.1 Beta2	2003-06-06 03:43:00.0	2003-06-06 03:44:00.0	0 days
34228	680m53	2004-09-15 20:54:00.0	2004-09-15 20:56:00.0	0 days
34228	680m53	2004-09-15 20:54:00.0	2004-09-15 20:58:00.0	0 days
34228	680m53	2004-09-15 20:54:00.0	2004-09-15 21:05:00.0	0 days
86715	680m247	2008-03-05 10:40:00.0	2008-03-05 10:41:00.0	0 days
28835	680m34	2004-05-06 19:44:00.0	2004-05-06 19:44:00.0	0 days
63917	current	2006-04-03 00:20:00.0	2006-04-03 00:22:00.0	0 days
78350	OOo 2.2	2007-06-12 16:31:00.0	2007-06-12 17:44:00.0	0 days
29919	680	2004-06-06 17:55:00.0	2004-06-06 17:57:00.0	0 days
84080	680m237	2007-11-29 13:08:00.0	2007-11-29 13:10:00.0	0 days
58890	OOo 2.0	2005-12-05 12:44:00.0	2006-06-16 12:11:00.0	192 days
58890	OOo 2.0	2005-12-05 12:44:00.0	2006-06-19 17:25:00.0	196 days
58890	OOo 2.0	2005-12-05 12:44:00.0	2006-06-19 22:07:00.0	196 days
58890	OOo 2.0	2005-12-05 12:44:00.0	2006-06-22 03:45:00.0	198 days
63933	680m161	2006-04-03 14:51:00.0	2006-04-03 14:52:00.0	0 days
71883	current	2006-11-23 11:18:00.0	2006-11-23 11:21:00.0	0 days
91158	current	2008-06-27 21:48:00.0	2008-06-27 21:49:00.0	0 days
91158	current	2008-06-27 21:48:00.0	2008-06-28 01:39:00.0	0 days
118592	AOO400-dev	2011-11-10 10:28:00.0	2011-11-14 08:51:00.0	3 days
118594	AOO400-dev	2011-11-10 12:21:00.0	2011-11-14 08:12:00.0	3 days
118595	AOO400-dev	2011-11-10 12:34:00.0	2011-11-11 13:19:00.0	1 days
14672	current	2003-05-20 15:32:00.0	2003-05-20 15:33:00.0	0 days
73604	OOo 1.0.0	2007-01-18 11:44:00.0	2007-01-19 10:47:00.0	0 days
84084	current	2007-11-29 14:14:00.0	2007-11-30 15:39:00.0	1 days
71082	current	2006-11-01 18:08:00.0	2006-11-01 18:10:00.0	0 days
71082	current	2006-11-01 18:08:00.0	2006-11-04 15:35:00.0	2 days
6088	642	2002-06-24 13:40:00.0	2002-06-24 13:42:00.0	0 days
6088	642	2002-06-24 13:40:00.0	2002-06-24 13:44:00.0	0 days
6088	642	2002-06-24 13:40:00.0	2002-06-24 13:57:00.0	0 days
6088	642	2002-06-24 13:40:00.0	2002-07-16 16:40:00.0	22 days
107645	DEV300m67	2009-12-13 04:07:00.0	2009-12-13 04:07:00.0	0 days
12602	644	2003-03-23 12:46:00.0	2003-03-31 14:11:00.0	8 days
86498	680m245	2008-02-27 04:36:00.0	2008-02-28 03:51:00.0	0 days
86498	680m245	2008-02-27 04:36:00.0	2008-02-28 23:05:00.0	1 days
86497	current	2008-02-27 03:34:00.0	2008-02-27 03:36:00.0	0 days
86497	current	2008-02-27 03:34:00.0	2008-02-29 13:09:00.0	2 days
117491	current	2011-03-21 13:28:00.0	2011-03-21 13:28:00.0	0 days
78776	current	2007-06-21 19:01:00.0	2007-07-24 23:47:00.0	33 days
41023	OOo 2.0	2005-01-20 11:38:00.0	2005-01-20 11:40:00.0	0 days
10958	OOo 1.0.2	2003-01-26 15:50:00.0	2003-01-26 16:08:00.0	0 days
10958	OOo 1.0.2	2003-01-26 15:50:00.0	2003-01-27 03:57:00.0	0 days
10958	OOo 1.0.2	2003-01-26 15:50:00.0	2003-01-27 15:19:00.0	0 days
10958	OOo 1.0.2	2003-01-26 15:50:00.0	2003-01-28 11:55:00.0	1 days
10958	OOo 1.0.2	2003-01-26 15:50:00.0	2003-01-29 10:20:00.0	2 days
10958	OOo 1.0.2	2003-01-26 15:50:00.0	2003-01-29 10:32:00.0	2 days
10958	OOo 1.0.2	2003-01-26 15:50:00.0	2003-01-29 11:45:00.0	2 days
10958	OOo 1.0.2	2003-01-26 15:50:00.0	2003-01-29 13:32:00.0	2 days
64583	current	2006-04-20 20:50:00.0	2006-07-24 00:08:00.0	94 days
64583	current	2006-04-20 20:50:00.0	2006-07-31 03:50:00.0	101 days
17241	OOo 1.1 RC	2003-07-22 14:10:00.0	2003-10-22 14:12:00.0	92 days
53128	current	2005-08-09 21:23:00.0	2005-08-11 13:57:00.0	1 days
53128	current	2005-08-09 21:23:00.0	2005-08-11 14:52:00.0	1 days
7588	current	2002-09-08 15:14:00.0	2002-09-08 15:16:00.0	0 days
7588	current	2002-09-08 15:14:00.0	2002-09-08 15:18:00.0	0 days
