BugID 	 BugVersion(ReleaseDate) 	 BugReportDate 	 PatchDate 	 FixTime
23658	OOo 1.1	2003-12-18 07:49:00.0	2004-11-18 11:20:00.0	336 days
23658	OOo 1.1	2003-12-18 07:49:00.0	2005-01-31 11:06:00.0	410 days
23658	OOo 1.1	2003-12-18 07:49:00.0	2005-02-09 11:26:00.0	419 days
23658	OOo 1.1	2003-12-18 07:49:00.0	2008-02-14 00:40:00.0	1518 days
23658	OOo 1.1	2003-12-18 07:49:00.0	2008-02-14 19:41:00.0	1519 days
23658	OOo 1.1	2003-12-18 07:49:00.0	2008-02-14 22:23:00.0	1519 days
23658	OOo 1.1	2003-12-18 07:49:00.0	2008-02-15 17:25:00.0	1520 days
23658	OOo 1.1	2003-12-18 07:49:00.0	2008-02-15 19:48:00.0	1520 days
79808	680m213	2007-07-19 23:59:00.0	2007-07-19 23:59:00.0	0 days
79808	680m213	2007-07-19 23:59:00.0	2007-07-20 14:54:00.0	0 days
79808	680m213	2007-07-19 23:59:00.0	2007-07-20 16:41:00.0	0 days
10995	OOo 1.0.1	2003-01-27 19:53:00.0	2003-02-21 15:38:00.0	24 days
10995	OOo 1.0.1	2003-01-27 19:53:00.0	2003-02-25 18:15:00.0	28 days
3296	641	2002-03-02 13:00:00.0	2003-02-28 12:13:00.0	362 days
3296	641	2002-03-02 13:00:00.0	2003-03-25 10:43:00.0	387 days
63929	OOo 2.0.2	2006-04-03 12:55:00.0	2006-04-03 12:56:00.0	0 days
67781	OOo 2.0.3	2006-07-26 10:29:00.0	2006-07-28 15:42:00.0	2 days
6087	OOo 1.1	2002-06-24 13:11:00.0	2008-04-16 19:30:00.0	2123 days
6087	OOo 1.1	2002-06-24 13:11:00.0	2008-04-17 19:50:00.0	2124 days
6087	OOo 1.1	2002-06-24 13:11:00.0	2008-05-01 14:31:00.0	2138 days
6087	OOo 1.1	2002-06-24 13:11:00.0	2008-05-01 16:55:00.0	2138 days
6087	OOo 1.1	2002-06-24 13:11:00.0	2008-05-04 02:01:00.0	2140 days
6087	OOo 1.1	2002-06-24 13:11:00.0	2008-05-04 04:32:00.0	2140 days
6087	OOo 1.1	2002-06-24 13:11:00.0	2008-05-10 16:52:00.0	2147 days
104484	OOo 3.1	2009-08-25 09:15:00.0	2009-09-03 13:58:00.0	9 days
118160	OOO340m0	2011-06-11 15:30:00.0	2011-06-11 15:30:00.0	0 days
