BugID 	 BugVersion(ReleaseDate) 	 BugReportDate 	 PatchDate 	 FixTime
89331	pre AOO 3.4.0	2008-05-12 13:35:00.0	2008-05-12 13:36:00.0	0 days
29514	OOo 1.1	2004-05-26 09:51:00.0	2004-05-26 09:53:00.0	0 days
29514	OOo 1.1	2004-05-26 09:51:00.0	2004-08-03 10:12:00.0	69 days
29514	OOo 1.1	2004-05-26 09:51:00.0	2004-08-14 11:28:00.0	80 days
107647	DEV300m66	2009-12-13 11:19:00.0	2009-12-13 11:20:00.0	0 days
36213	680m58	2004-10-27 15:17:00.0	2007-06-06 07:26:00.0	951 days
46679	680m89	2005-04-05 09:40:00.0	2005-04-05 13:12:00.0	0 days
63007	current	2006-03-10 11:32:00.0	2006-03-10 20:47:00.0	0 days
63012	pre AOO 3.4.0	2006-03-10 12:54:00.0	2006-03-10 13:16:00.0	0 days
63011	pre AOO 3.4.0	2006-03-10 12:21:00.0	2006-03-10 12:24:00.0	0 days
63016	pre AOO 3.4.0	2006-03-10 14:04:00.0	2007-06-20 02:36:00.0	466 days
63017	pre AOO 3.4.0	2006-03-10 14:18:00.0	2006-08-09 15:52:00.0	152 days
90653	DEV300m18	2008-06-12 11:50:00.0	2008-11-17 20:01:00.0	158 days
62321	OOo 2.0.2	2006-02-20 12:38:00.0	2006-02-20 12:39:00.0	0 days
63848	680m161	2006-03-31 10:57:00.0	2007-05-09 03:49:00.0	403 days
63848	680m161	2006-03-31 10:57:00.0	2007-05-09 03:58:00.0	403 days
63848	680m161	2006-03-31 10:57:00.0	2007-05-09 08:14:00.0	403 days
63848	680m161	2006-03-31 10:57:00.0	2007-12-28 13:24:00.0	637 days
101158	DEV300m51	2009-04-17 13:05:00.0	2009-04-17 13:06:00.0	0 days
101158	DEV300m51	2009-04-17 13:05:00.0	2009-04-19 08:14:00.0	1 days
101158	DEV300m51	2009-04-17 13:05:00.0	2009-11-20 08:44:00.0	216 days
101158	DEV300m51	2009-04-17 13:05:00.0	2009-11-20 09:17:00.0	216 days
58850	OOo 2.0.1	2005-12-04 10:26:00.0	2005-12-17 17:48:00.0	13 days
101127	DEV300m46	2009-04-16 09:59:00.0	2009-04-16 09:59:00.0	0 days
85691	OOo 2.3	2008-01-29 21:07:00.0	2008-04-07 09:37:00.0	68 days
64555	680m163	2006-04-20 13:04:00.0	2006-12-18 19:53:00.0	242 days
64555	680m163	2006-04-20 13:04:00.0	2007-01-10 15:16:00.0	265 days
80382	pre AOO 3.4.0	2007-08-06 15:39:00.0	2007-08-06 15:59:00.0	0 days
43004	680m78	2005-02-17 15:15:00.0	2005-03-07 12:19:00.0	17 days
100070	pre AOO 3.4.0	2009-03-09 20:43:00.0	2009-03-09 21:55:00.0	0 days
100070	pre AOO 3.4.0	2009-03-09 20:43:00.0	2009-03-09 22:19:00.0	0 days
6011	pre AOO 3.4.0	2002-06-20 16:21:00.0	2002-06-20 16:23:00.0	0 days
41456	680m74	2005-01-27 13:00:00.0	2005-01-27 13:01:00.0	0 days
41456	680m74	2005-01-27 13:00:00.0	2005-01-27 13:03:00.0	0 days
63088	OOo 2.0.2	2006-03-12 19:32:00.0	2006-03-17 09:27:00.0	4 days
78304	680m211	2007-06-11 15:05:00.0	2007-06-11 15:06:00.0	0 days
36276	680m58	2004-10-28 12:46:00.0	2004-10-28 12:47:00.0	0 days
19836	OOo 1.0.0	2003-09-20 13:50:00.0	2003-09-20 13:51:00.0	0 days
19836	OOo 1.0.0	2003-09-20 13:50:00.0	2003-10-14 16:48:00.0	24 days
19836	OOo 1.0.0	2003-09-20 13:50:00.0	2003-10-14 16:48:00.0	24 days
49387	pre AOO 3.4.0	2005-05-17 13:55:00.0	2005-05-17 13:57:00.0	0 days
36280	OOo 1.1.2	2004-10-28 13:15:00.0	2004-11-01 11:22:00.0	3 days
86744	DEV300m1	2008-03-05 17:44:00.0	2008-03-06 09:43:00.0	0 days
74477	OOo 2.1	2007-02-13 01:38:00.0	2007-02-26 07:11:00.0	13 days
74477	OOo 2.1	2007-02-13 01:38:00.0	2007-03-09 02:00:00.0	24 days
86741	DEV300m1	2008-03-05 16:47:00.0	2008-03-05 16:51:00.0	0 days
85097	680m241	2008-01-09 07:45:00.0	2008-01-09 07:46:00.0	0 days
68851	OOo 2.0.3	2006-08-22 11:59:00.0	2006-08-22 11:59:00.0	0 days
68851	OOo 2.0.3	2006-08-22 11:59:00.0	2006-08-30 16:38:00.0	8 days
93520	DEV300m30	2008-09-05 15:33:00.0	2008-09-05 15:38:00.0	0 days
72152	current	2006-11-30 17:38:00.0	2006-12-12 14:14:00.0	11 days
15732	current	2003-06-17 15:34:00.0	2003-06-27 15:45:00.0	10 days
76123	OOo 2.2	2007-04-05 12:19:00.0	2007-04-05 12:20:00.0	0 days
56619	OOo 2.0	2005-10-25 15:15:00.0	2005-10-25 19:08:00.0	0 days
56619	OOo 2.0	2005-10-25 15:15:00.0	2005-10-26 11:01:00.0	0 days
56619	OOo 2.0	2005-10-25 15:15:00.0	2005-10-26 11:06:00.0	0 days
106632	DEV300m63	2009-11-05 13:51:00.0	2009-11-05 13:53:00.0	0 days
106632	DEV300m63	2009-11-05 13:51:00.0	2009-11-05 13:54:00.0	0 days
55733	680m130	2005-10-10 16:51:00.0	2005-10-10 17:04:00.0	0 days
55733	680m130	2005-10-10 16:51:00.0	2005-10-25 11:12:00.0	14 days
93512	OOO300m4	2008-09-05 11:58:00.0	2008-09-05 16:12:00.0	0 days
