BugID 	 BugVersion(ReleaseDate) 	 BugReportDate 	 PatchDate 	 FixTime
290145	unspecified	2009-09-22 15:24:00.0	2009-09-22 15:27:00.0	0 days
348020	unspecified	2011-06-01 21:20:00.0	2011-06-01 21:21:00.0	0 days
361697	unspecified	2011-10-21 17:40:00.0	2011-10-21 17:45:00.0	0 days
374662	0.9.0	2012-03-19 15:34:00.0	2012-03-19 16:56:00.0	0 days
355084	unspecified	2011-08-18 13:42:00.0	2011-08-18 17:43:00.0	0 days
315605	unspecified	2010-06-03 15:00:00.0	2010-06-09 14:22:00.0	5 days
290159	unspecified	2009-09-22 17:47:00.0	2009-09-22 17:49:00.0	0 days
290968	unspecified	2009-09-30 20:49:00.0	2009-09-30 20:55:00.0	0 days
348030	0.8.0	2011-06-01 22:18:00.0	2011-06-01 22:18:00.0	0 days
348030	0.8.0	2011-06-01 22:18:00.0	2011-06-02 14:53:00.0	0 days
342769	unspecified	2011-04-13 21:11:00.0	2011-04-13 21:13:00.0	0 days
340341	unspecified	2011-03-17 16:03:00.0	2011-08-12 19:31:00.0	148 days
358593	0.8.0	2011-09-22 13:47:00.0	2011-10-15 17:52:00.0	23 days
272820	unspecified	2009-04-19 12:34:00.0	2009-04-19 12:34:00.0	0 days
272820	unspecified	2009-04-19 12:34:00.0	2009-04-21 14:23:00.0	2 days
302987	0.4.1	2010-02-16 19:57:00.0	2010-02-16 20:36:00.0	0 days
302987	0.4.1	2010-02-16 19:57:00.0	2010-02-17 16:48:00.0	0 days
302987	0.4.1	2010-02-16 19:57:00.0	2010-03-12 17:38:00.0	23 days
302987	0.4.1	2010-02-16 19:57:00.0	2010-03-12 17:41:00.0	23 days
302987	0.4.1	2010-02-16 19:57:00.0	2010-03-12 17:47:00.0	23 days
332590	0.7.0	2010-12-14 23:37:00.0	2010-12-14 23:52:00.0	0 days
332590	0.7.0	2010-12-14 23:37:00.0	2010-12-15 19:31:00.0	0 days
332590	0.7.0	2010-12-14 23:37:00.0	2010-12-15 21:58:00.0	0 days
321253	0.6	2010-07-29 17:40:00.0	2010-07-29 17:42:00.0	0 days
384283	1.0	2012-07-04 15:25:00.0	2012-07-04 15:29:00.0	0 days
376426	unspecified	2012-04-10 17:37:00.0	2012-04-10 17:38:00.0	0 days
290046	unspecified	2009-09-21 18:27:00.0	2009-09-22 14:41:00.0	0 days
293101	unspecified	2009-10-22 19:35:00.0	2010-03-03 14:33:00.0	131 days
347990	unspecified	2011-06-01 18:22:00.0	2011-06-01 18:23:00.0	0 days
331688	0.7.0	2010-12-02 16:08:00.0	2010-12-02 16:08:00.0	0 days
332322	0.7.0	2010-12-10 16:30:00.0	2010-12-10 16:30:00.0	0 days
349720	unspecified	2011-06-17 18:54:00.0	2011-06-17 18:59:00.0	0 days
374541	unspecified	2012-03-16 17:50:00.0	2012-03-16 17:51:00.0	0 days
323503	unspecified	2010-08-24 14:32:00.0	2010-08-24 14:48:00.0	0 days
327711	0.6.1	2010-10-13 20:15:00.0	2010-10-13 20:24:00.0	0 days
327711	0.6.1	2010-10-13 20:15:00.0	2010-10-13 20:26:00.0	0 days
