BugID 	 BugVersion(ReleaseDate) 	 BugReportDate 	 PatchDate 	 FixTime
338	-current	2002-07-05 18:20:00.0	2002-07-17 04:44:00.0	11 days
1414	4.7p1	2007-12-21 04:25:00.0	2007-12-21 04:25:00.0	0 days
1412	4.7p1	2007-12-21 04:19:00.0	2007-12-21 04:19:00.0	0 days
1412	4.7p1	2007-12-21 04:19:00.0	2009-01-15 00:12:00.0	390 days
1419	4.7p1	2007-12-21 04:45:00.0	2007-12-21 04:45:00.0	0 days
1419	4.7p1	2007-12-21 04:45:00.0	2007-12-21 04:45:00.0	0 days
1419	4.7p1	2007-12-21 04:45:00.0	2008-01-08 04:16:00.0	17 days
1419	4.7p1	2007-12-21 04:45:00.0	2009-01-21 05:11:00.0	397 days
1419	4.7p1	2007-12-21 04:45:00.0	2009-01-21 05:39:00.0	397 days
1418	4.7p1	2007-12-21 04:42:00.0	2007-12-21 04:42:00.0	0 days
1417	4.7p1	2007-12-21 04:40:00.0	2007-12-21 04:40:00.0	0 days
1417	4.7p1	2007-12-21 04:40:00.0	2007-12-27 15:14:00.0	6 days
336	-current	2002-07-04 12:25:00.0	2003-05-21 00:53:00.0	320 days
336	-current	2002-07-04 12:25:00.0	2003-06-29 13:16:00.0	360 days
336	-current	2002-07-04 12:25:00.0	2003-08-06 08:42:00.0	397 days
947	3.9p1	2004-10-30 00:53:00.0	2004-10-31 08:21:00.0	1 days
948	3.9p1	2004-10-31 19:59:00.0	2005-02-19 02:55:00.0	110 days
948	3.9p1	2004-10-31 19:59:00.0	2005-02-19 07:41:00.0	110 days
948	3.9p1	2004-10-31 19:59:00.0	2005-02-19 07:57:00.0	110 days
748	-current	2003-10-21 17:23:00.0	2004-04-04 12:10:00.0	165 days
745	-current	2003-10-17 11:35:00.0	2003-10-18 09:26:00.0	0 days
745	-current	2003-10-17 11:35:00.0	2003-10-18 09:29:00.0	0 days
534	-current	2003-04-04 18:05:00.0	2003-05-16 00:50:00.0	41 days
1825	5.6p1	2010-09-23 02:04:00.0	2010-10-12 02:24:00.0	19 days
740	3.7.1p1	2003-10-09 22:34:00.0	2003-11-20 06:52:00.0	41 days
1823	5.5p1	2010-09-16 21:25:00.0	2010-09-16 21:28:00.0	0 days
536	-current	2003-04-05 19:23:00.0	2003-05-06 09:36:00.0	30 days
536	-current	2003-04-05 19:23:00.0	2003-05-07 11:59:00.0	31 days
536	-current	2003-04-05 19:23:00.0	2003-05-08 09:51:00.0	32 days
536	-current	2003-04-05 19:23:00.0	2003-05-09 14:53:00.0	33 days
1824	-current	2010-09-22 16:37:00.0	2010-10-18 22:08:00.0	26 days
1824	-current	2010-09-22 16:37:00.0	2010-11-05 00:30:00.0	43 days
1829	5.6p1	2010-10-18 22:07:00.0	2010-10-18 22:07:00.0	0 days
1827	-current	2010-10-08 23:50:00.0	2010-10-08 23:50:00.0	0 days
1828	5.6p1	2010-10-13 16:09:00.0	2010-10-13 16:09:00.0	0 days
1420	4.7p1	2007-12-21 04:47:00.0	2007-12-21 04:47:00.0	0 days
1420	4.7p1	2007-12-21 04:47:00.0	2007-12-23 19:40:00.0	2 days
1420	4.7p1	2007-12-21 04:47:00.0	2008-01-03 10:47:00.0	13 days
1421	4.7p1	2007-12-21 04:49:00.0	2007-12-21 04:49:00.0	0 days
1427	4.7p1	2008-01-07 00:23:00.0	2008-01-07 00:23:00.0	0 days
1427	4.7p1	2008-01-07 00:23:00.0	2008-01-07 00:24:00.0	0 days
1427	4.7p1	2008-01-07 00:23:00.0	2008-01-07 06:14:00.0	0 days
1427	4.7p1	2008-01-07 00:23:00.0	2008-01-07 06:26:00.0	0 days
343	-current	2002-07-08 18:08:00.0	2008-05-08 15:01:00.0	2130 days
345	-current	2002-07-08 19:40:00.0	2003-09-05 03:56:00.0	423 days
936	-current	2004-09-28 06:21:00.0	2004-09-28 06:24:00.0	0 days
936	-current	2004-09-28 06:21:00.0	2004-10-07 07:56:00.0	9 days
936	-current	2004-09-28 06:21:00.0	2004-10-07 10:42:00.0	9 days
544	-current	2003-04-19 06:26:00.0	2003-04-20 12:34:00.0	1 days
543	-current	2003-04-15 21:19:00.0	2003-04-15 21:26:00.0	0 days
543	-current	2003-04-15 21:19:00.0	2003-04-16 04:28:00.0	0 days
543	-current	2003-04-15 21:19:00.0	2003-05-03 00:33:00.0	17 days
543	-current	2003-04-15 21:19:00.0	2003-07-13 13:36:00.0	88 days
549	-current	2003-04-26 22:34:00.0	2003-05-02 23:16:00.0	6 days
1817	5.6p1	2010-09-13 11:07:00.0	2010-09-13 11:09:00.0	0 days
1817	5.6p1	2010-09-13 11:07:00.0	2010-11-04 23:48:00.0	52 days
1437	4.7p1	2008-02-04 11:36:00.0	2008-02-04 11:51:00.0	0 days
1437	4.7p1	2008-02-04 11:36:00.0	2008-02-28 07:20:00.0	23 days
920	-current	2004-08-25 18:53:00.0	2004-08-25 18:55:00.0	0 days
920	-current	2004-08-25 18:53:00.0	2005-06-03 02:55:00.0	281 days
920	-current	2004-08-25 18:53:00.0	2005-06-06 11:55:00.0	284 days
318	-current	2002-06-28 12:28:00.0	2002-12-14 01:11:00.0	168 days
1433	4.7p1	2008-01-28 02:56:00.0	2008-01-28 05:24:00.0	0 days
1433	4.7p1	2008-01-28 02:56:00.0	2008-01-28 06:03:00.0	0 days
1433	4.7p1	2008-01-28 02:56:00.0	2008-06-14 17:34:00.0	138 days
1432	4.7p1	2008-01-26 16:35:00.0	2008-01-26 16:35:00.0	0 days
1431	4.7p1	2008-01-17 05:40:00.0	2008-01-17 05:40:00.0	0 days
927	-current	2004-09-09 22:12:00.0	2004-09-11 05:20:00.0	1 days
922	-current	2004-08-31 11:34:00.0	2004-08-31 11:39:00.0	0 days
513	-current	2003-03-18 23:49:00.0	2003-03-18 23:56:00.0	0 days
513	-current	2003-03-18 23:49:00.0	2003-03-18 23:56:00.0	0 days
1842	5.6p1	2010-11-22 18:45:00.0	2010-11-23 23:09:00.0	1 days
919	-current	2004-08-23 16:29:00.0	2005-02-10 11:20:00.0	170 days
918	-current	2004-08-23 14:36:00.0	2004-08-23 14:39:00.0	0 days
918	-current	2004-08-23 14:36:00.0	2004-09-11 10:16:00.0	18 days
1849	5.6p1	2011-01-23 12:55:00.0	2011-01-23 12:55:00.0	0 days
517	-current	2003-03-24 04:38:00.0	2003-03-25 01:46:00.0	0 days
517	-current	2003-03-24 04:38:00.0	2003-03-25 03:51:00.0	0 days
517	-current	2003-03-24 04:38:00.0	2003-03-26 02:50:00.0	1 days
517	-current	2003-03-24 04:38:00.0	2003-03-26 02:54:00.0	1 days
517	-current	2003-03-24 04:38:00.0	2003-03-29 19:13:00.0	5 days
517	-current	2003-03-24 04:38:00.0	2003-03-31 01:36:00.0	6 days
517	-current	2003-03-24 04:38:00.0	2003-05-15 08:50:00.0	52 days
517	-current	2003-03-24 04:38:00.0	2003-05-15 15:01:00.0	52 days
515	-current	2003-03-21 04:01:00.0	2003-03-23 14:07:00.0	2 days
515	-current	2003-03-21 04:01:00.0	2003-03-23 23:20:00.0	2 days
515	-current	2003-03-21 04:01:00.0	2003-03-24 02:34:00.0	2 days
514	-current	2003-03-19 00:00:00.0	2003-03-19 00:01:00.0	0 days
1447	4.7p1	2008-03-05 16:30:00.0	2008-03-05 16:30:00.0	0 days
1447	4.7p1	2008-03-05 16:30:00.0	2008-03-05 16:32:00.0	0 days
327	-current	2002-07-01 08:39:00.0	2002-07-02 19:59:00.0	1 days
1443	4.7p1	2008-02-26 18:14:00.0	2008-06-14 18:19:00.0	108 days
915	-current	2004-08-18 07:38:00.0	2004-08-18 07:39:00.0	0 days
915	-current	2004-08-18 07:38:00.0	2004-08-28 14:59:00.0	10 days
324	-current	2002-06-29 23:17:00.0	2002-06-29 23:19:00.0	0 days
324	-current	2002-06-29 23:17:00.0	2002-07-03 09:56:00.0	3 days
324	-current	2002-06-29 23:17:00.0	2002-07-09 08:23:00.0	9 days
709	-current	2003-09-23 16:41:00.0	2003-09-23 16:42:00.0	0 days
910	-current	2004-08-05 17:22:00.0	2004-09-19 20:11:00.0	45 days
910	-current	2004-08-05 17:22:00.0	2004-09-19 22:04:00.0	45 days
910	-current	2004-08-05 17:22:00.0	2004-09-20 20:15:00.0	46 days
910	-current	2004-08-05 17:22:00.0	2005-05-14 03:19:00.0	281 days
910	-current	2004-08-05 17:22:00.0	2005-05-14 09:33:00.0	281 days
910	-current	2004-08-05 17:22:00.0	2005-05-14 12:25:00.0	281 days
910	-current	2004-08-05 17:22:00.0	2005-05-21 02:33:00.0	288 days
910	-current	2004-08-05 17:22:00.0	2005-08-09 13:09:00.0	368 days
910	-current	2004-08-05 17:22:00.0	2005-10-03 05:08:00.0	423 days
910	-current	2004-08-05 17:22:00.0	2006-01-18 00:23:00.0	530 days
910	-current	2004-08-05 17:22:00.0	2006-01-18 05:11:00.0	530 days
910	-current	2004-08-05 17:22:00.0	2006-02-21 03:08:00.0	564 days
910	-current	2004-08-05 17:22:00.0	2006-05-06 04:31:00.0	638 days
