BugID 	 BugVersion(ReleaseDate) 	 BugReportDate 	 PatchDate 	 FixTime
212355	unspecified	2007-12-09 22:27:00.0	2007-12-09 22:28:00.0	0 days
212355	unspecified	2007-12-09 22:27:00.0	2007-12-12 00:57:00.0	2 days
173676	unspecified	2007-02-09 18:24:00.0	2007-02-09 18:37:00.0	0 days
184463	unspecified	2007-04-27 15:52:00.0	2007-05-03 14:50:00.0	5 days
184463	unspecified	2007-04-27 15:52:00.0	2007-05-16 20:32:00.0	19 days
184463	unspecified	2007-04-27 15:52:00.0	2007-05-18 18:45:00.0	21 days
194938	unspecified	2007-06-29 17:09:00.0	2007-07-17 15:58:00.0	17 days
183092	unspecified	2007-04-19 00:14:00.0	2007-04-20 01:40:00.0	1 days
183092	unspecified	2007-04-19 00:14:00.0	2007-05-16 21:43:00.0	27 days
183092	unspecified	2007-04-19 00:14:00.0	2007-08-31 17:10:00.0	134 days
317079	unspecified	2010-06-16 17:44:00.0	2010-08-02 17:20:00.0	46 days
317079	unspecified	2010-06-16 17:44:00.0	2010-09-20 19:51:00.0	96 days
317079	unspecified	2010-06-16 17:44:00.0	2011-01-25 23:57:00.0	223 days
194114	unspecified	2007-06-23 23:42:00.0	2007-06-23 23:54:00.0	0 days
194114	unspecified	2007-06-23 23:42:00.0	2007-07-30 17:59:00.0	36 days
194114	unspecified	2007-06-23 23:42:00.0	2007-08-15 21:47:00.0	52 days
286966	unspecified	2009-08-18 17:49:00.0	2009-08-25 17:13:00.0	6 days
191531	unspecified	2007-06-07 18:19:00.0	2007-08-03 17:42:00.0	56 days
191531	unspecified	2007-06-07 18:19:00.0	2007-08-06 20:11:00.0	60 days
191531	unspecified	2007-06-07 18:19:00.0	2007-08-06 20:25:00.0	60 days
191531	unspecified	2007-06-07 18:19:00.0	2007-08-06 20:36:00.0	60 days
191531	unspecified	2007-06-07 18:19:00.0	2007-08-06 21:25:00.0	60 days
277522	unspecified	2009-05-22 18:53:00.0	2009-05-22 18:53:00.0	0 days
178807	unspecified	2007-03-22 14:57:00.0	2007-09-28 20:29:00.0	190 days
212354	unspecified	2007-12-09 22:25:00.0	2007-12-09 22:25:00.0	0 days
212354	unspecified	2007-12-09 22:25:00.0	2007-12-11 20:10:00.0	1 days
175931	unspecified	2007-02-28 22:45:00.0	2007-04-06 22:15:00.0	36 days
215104	unspecified	2008-01-12 04:13:00.0	2008-01-12 04:14:00.0	0 days
215104	unspecified	2008-01-12 04:13:00.0	2008-01-14 19:21:00.0	2 days
208280	unspecified	2007-10-31 16:50:00.0	2007-11-11 14:42:00.0	10 days
208280	unspecified	2007-10-31 16:50:00.0	2007-11-12 09:05:00.0	11 days
208280	unspecified	2007-10-31 16:50:00.0	2007-11-15 14:28:00.0	14 days
259739	unspecified	2008-12-29 10:57:00.0	2008-12-29 10:57:00.0	0 days
178389	unspecified	2007-03-20 19:31:00.0	2007-05-13 00:17:00.0	53 days
178389	unspecified	2007-03-20 19:31:00.0	2007-05-13 15:21:00.0	53 days
178389	unspecified	2007-03-20 19:31:00.0	2007-05-17 19:21:00.0	57 days
