BugID 	 BugVersion(ReleaseDate) 	 BugReportDate 	 PatchDate 	 FixTime
185496	0.5.0	2007-05-04 07:31:00.0	2007-05-04 07:38:00.0	0 days
183148	0.5.0	2007-04-19 09:47:00.0	2007-04-19 09:48:00.0	0 days
256572	1.0.0	2008-11-26 09:23:00.0	2008-11-27 09:09:00.0	0 days
256572	1.0.0	2008-11-26 09:23:00.0	2008-11-27 09:09:00.0	0 days
179020	1.0.0	2007-03-23 14:20:00.0	2007-05-09 13:51:00.0	46 days
179020	1.0.0	2007-03-23 14:20:00.0	2007-05-09 13:53:00.0	46 days
179020	1.0.0	2007-03-23 14:20:00.0	2009-01-09 13:52:00.0	658 days
179020	1.0.0	2007-03-23 14:20:00.0	2009-01-09 13:55:00.0	658 days
179020	1.0.0	2007-03-23 14:20:00.0	2009-01-09 13:56:00.0	658 days
179020	1.0.0	2007-03-23 14:20:00.0	2009-01-09 13:59:00.0	658 days
179020	1.0.0	2007-03-23 14:20:00.0	2009-01-09 14:01:00.0	658 days
248063	1.0.0	2008-09-21 13:03:00.0	2008-09-21 13:03:00.0	0 days
244508	unspecified	2008-08-19 07:15:00.0	2008-09-09 12:39:00.0	21 days
188225	0.5.0	2007-05-22 06:37:00.0	2007-05-22 06:38:00.0	0 days
203088	0.5.0	2007-09-12 15:36:00.0	2007-09-15 09:32:00.0	2 days
238100	1.0.0	2008-06-23 12:52:00.0	2008-07-25 09:08:00.0	31 days
238100	1.0.0	2008-06-23 12:52:00.0	2008-07-25 09:08:00.0	31 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-02-14 10:59:00.0	16 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-02-14 11:00:00.0	16 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-02-14 11:00:00.0	16 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-03-07 13:14:00.0	38 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-03-07 13:14:00.0	38 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-03-07 13:14:00.0	38 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-03-07 13:15:00.0	38 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-03-07 15:16:00.0	39 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-03-17 10:43:00.0	48 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-03-17 11:42:00.0	48 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-03-24 11:36:00.0	55 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-03-24 11:37:00.0	55 days
216767	1.0.0	2008-01-28 14:16:00.0	2008-03-24 11:37:00.0	55 days
243881	1.0.0	2008-08-12 14:09:00.0	2008-08-18 16:55:00.0	6 days
